bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,angle_deg,rev,rpm
1780471664757008905,1780471664.757008791,1780471664,756617971,encoder,0.0,0.0,0
1780471664766965008,1780471664.766964912,1780471664,766634526,encoder,0.0,0.0,0
1780471664776945625,1780471664.776945591,1780471664,776609286,encoder,0.0,0.0,0
1780471664787009894,1780471664.787009954,1780471664,786643122,encoder,0.0,0.0,0
1780471664796856711,1780471664.796856642,1780471664,796611546,encoder,0.0,0.0,0
1780471664806888275,1780471664.806888342,1780471664,806618788,encoder,0.0,0.0,0
1780471664816951744,1780471664.816951752,1780471664,816629262,encoder,0.0,0.0,0
1780471664826967210,1780471664.826967239,1780471664,826617399,encoder,0.0,0.0,0
1780471664837053049,1780471664.837053061,1780471664,836655555,encoder,0.0,0.0,0
1780471664846987295,1780471664.846987247,1780471664,846623434,encoder,0.0,0.0,0
1780471664856923781,1780471664.856923819,1780471664,856615028,encoder,0.0,0.0,0
1780471664866925870,1780471664.866925955,1780471664,866589788,encoder,0.0,0.0,0
1780471664876963674,1780471664.876963615,1780471664,876618919,encoder,0.0,0.0,0
1780471664886889120,1780471664.886889219,1780471664,886613328,encoder,0.0,0.0,0
1780471664897065491,1780471664.897065401,1780471664,896617978,encoder,0.0,0.0,0
1780471664906947702,1780471664.906947613,1780471664,906639685,encoder,0.0,0.0,0
1780471664916952576,1780471664.916952610,1780471664,916628046,encoder,0.0,0.0,0
1780471664926980555,1780471664.926980495,1780471664,926649529,encoder,0.0,0.0,0
1780471664937022455,1780471664.937022448,1780471664,936620001,encoder,0.0,0.0,0
1780471664947065667,1780471664.947065592,1780471664,946651276,encoder,0.0,0.0,0
1780471664957107119,1780471664.957107067,1780471664,956632821,encoder,0.0,0.0,0
1780471664967085944,1780471664.967085838,1780471664,966624638,encoder,0.0,0.0,0
1780471664977073441,1780471664.977073431,1780471664,976629064,encoder,0.0,0.0,0
1780471664986959108,1780471664.986959219,1780471664,986621553,encoder,0.0,0.0,0
1780471664997038066,1780471664.997038126,1780471664,996620635,encoder,0.0,0.0,0
1780471665006964600,1780471665.006964684,1780471665,6627717,encoder,0.0,0.0,0
1780471665017067495,1780471665.017067432,1780471665,16629903,encoder,0.0,0.0,0
1780471665026997005,1780471665.026997089,1780471665,26651418,encoder,0.0,0.0,0
1780471665037120381,1780471665.037120342,1780471665,36633282,encoder,0.0,0.0,0
1780471665047014465,1780471665.047014475,1780471665,46646221,encoder,0.0,0.0,0
1780471665056997290,1780471665.056997299,1780471665,56623029,encoder,0.0,0.0,0
1780471665067032597,1780471665.067032576,1780471665,66634335,encoder,0.0,0.0,0
1780471665077055200,1780471665.077055216,1780471665,76634601,encoder,0.0,0.0,0
1780471665087016264,1780471665.087016344,1780471665,86630579,encoder,0.0,0.0,0
1780471665097134488,1780471665.097134590,1780471665,96690496,encoder,0.0,0.0,0
1780471665107170276,1780471665.107170343,1780471665,106646151,encoder,0.0,0.0,0
1780471665117160813,1780471665.117160797,1780471665,116661041,encoder,0.0,0.0,0
1780471665126911113,1780471665.126911163,1780471665,126630585,encoder,0.0,0.0,0
1780471665137199874,1780471665.137199879,1780471665,136671013,encoder,0.0,0.0,0
1780471665147037827,1780471665.147037745,1780471665,146642669,encoder,0.0,0.0,0
1780471665157379392,1780471665.157379389,1780471665,156697914,encoder,0.0,0.0,0
1780471665167038295,1780471665.167038202,1780471665,166674242,encoder,0.0,0.0,0
1780471665176978589,1780471665.176978588,1780471665,176641770,encoder,0.0,0.0,0
1780471665187126159,1780471665.187126160,1780471665,186677078,encoder,0.0,0.0,0
1780471665197068213,1780471665.197068214,1780471665,196634429,encoder,0.0,0.0,0
1780471665207046398,1780471665.207046509,1780471665,206670729,encoder,0.0,0.0,0
1780471665217201520,1780471665.217201471,1780471665,216664306,encoder,0.0,0.0,0
1780471665227026832,1780471665.227026939,1780471665,226643003,encoder,0.0,0.0,0
1780471665237133824,1780471665.237133741,1780471665,236658309,encoder,0.0,0.0,0
1780471665247037380,1780471665.247037411,1780471665,246644686,encoder,0.0,0.0,0
1780471665257172501,1780471665.257172585,1780471665,256645592,encoder,0.0,0.0,0
1780471665266996853,1780471665.266996861,1780471665,266664835,encoder,0.0,0.0,0
1780471665277069123,1780471665.277069092,1780471665,276661708,encoder,0.0,0.0,0
1780471665286994536,1780471665.286994457,1780471665,286655062,encoder,0.0,0.0,0
1780471665297048405,1780471665.297048330,1780471665,296650815,encoder,0.0,0.0,0
1780471665307028702,1780471665.307028770,1780471665,306672426,encoder,0.0,0.0,0
1780471665317043912,1780471665.317044020,1780471665,316657203,encoder,0.0,0.0,0
1780471665327136663,1780471665.327136755,1780471665,326679806,encoder,0.0,0.0,0
1780471665337024411,1780471665.337024450,1780471665,336660166,encoder,0.0,0.0,0
1780471665347136650,1780471665.347136736,1780471665,346690354,encoder,0.0,0.0,0
1780471665357071665,1780471665.357071638,1780471665,356652281,encoder,0.0,0.0,0
1780471665367075834,1780471665.367075920,1780471665,366664676,encoder,0.0,0.0,0
1780471665377189130,1780471665.377189159,1780471665,376671598,encoder,0.0,0.0,0
1780471665387122992,1780471665.387123108,1780471665,386656119,encoder,0.0,0.0,0
1780471665397272034,1780471665.397272110,1780471665,396679138,encoder,0.0,0.0,0
1780471665407060768,1780471665.407060862,1780471665,406662474,encoder,0.0,0.0,0
1780471665417194449,1780471665.417194366,1780471665,416665588,encoder,0.0,0.0,0
1780471665427116855,1780471665.427116871,1780471665,426675422,encoder,0.0,0.0,0
1780471665437028796,1780471665.437028885,1780471665,436656679,encoder,0.0,0.0,0
1780471665447114058,1780471665.447113991,1780471665,446677874,encoder,0.0,0.0,0
1780471665457030767,1780471665.457030773,1780471665,456673339,encoder,0.0,0.0,0
1780471665467039097,1780471665.467039108,1780471665,466675653,encoder,0.0,0.0,0
1780471665477035619,1780471665.477035522,1780471665,476667918,encoder,0.0,0.0,0
