bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,switch_1,switch_2
1780471548240853848,1780471548.240853786,1780471548,240248695,switch,False,False
1780471548250845625,1780471548.250845671,1780471548,250224568,switch,False,False
1780471548260940640,1780471548.260940552,1780471548,260240858,switch,False,False
1780471548270669363,1780471548.270669460,1780471548,270229339,switch,False,False
1780471548280733945,1780471548.280734062,1780471548,280238142,switch,False,False
1780471548290658294,1780471548.290658236,1780471548,290235103,switch,False,False
1780471548301005163,1780471548.301005125,1780471548,300215584,switch,False,False
1780471548311908414,1780471548.311908484,1780471548,310218850,switch,False,False
1780471548320731840,1780471548.320731878,1780471548,320236197,switch,False,False
1780471548330870953,1780471548.330870867,1780471548,330228006,switch,False,False
1780471548341297826,1780471548.341297865,1780471548,340334894,switch,False,False
1780471548351614549,1780471548.351614475,1780471548,350382482,switch,False,False
1780471548361041432,1780471548.361041546,1780471548,360294703,switch,False,False
1780471548371305800,1780471548.371305704,1780471548,370530302,switch,False,False
1780471548381004409,1780471548.381004333,1780471548,380254096,switch,False,False
1780471548391813031,1780471548.391813040,1780471548,390460669,switch,False,False
1780471548400948506,1780471548.400948524,1780471548,400252788,switch,False,False
1780471548411343185,1780471548.411343098,1780471548,410250422,switch,False,False
1780471548422072059,1780471548.422072172,1780471548,420261592,switch,False,False
1780471548430761173,1780471548.430761099,1780471548,430226168,switch,False,False
1780471548441278515,1780471548.441278458,1780471548,440236858,switch,False,False
1780471548451200625,1780471548.451200724,1780471548,450242684,switch,False,False
1780471548462099075,1780471548.462099075,1780471548,460327267,switch,False,False
1780471548472072868,1780471548.472072840,1780471548,470237632,switch,False,False
1780471548481367295,1780471548.481367350,1780471548,480260035,switch,False,False
1780471548491256603,1780471548.491256714,1780471548,490259172,switch,False,False
1780471548501066994,1780471548.501066923,1780471548,500246021,switch,False,False
1780471548510786853,1780471548.510786772,1780471548,510234726,switch,False,False
1780471548522501636,1780471548.522501707,1780471548,520312109,switch,False,False
1780471548531370440,1780471548.531370401,1780471548,530334864,switch,False,False
1780471548541664250,1780471548.541664362,1780471548,540315152,switch,False,False
1780471548551965452,1780471548.551965475,1780471548,551073083,switch,False,False
1780471548561195908,1780471548.561195850,1780471548,560257265,switch,False,False
1780471548571651263,1780471548.571651220,1780471548,570341207,switch,False,False
1780471548581064032,1780471548.581063986,1780471548,580253236,switch,False,False
1780471548591382867,1780471548.591382980,1780471548,590384989,switch,False,False
1780471548600960158,1780471548.600960255,1780471548,600260696,switch,False,False
1780471548611185868,1780471548.611185789,1780471548,610288539,switch,False,False
1780471548620803993,1780471548.620804071,1780471548,620329695,switch,False,False
1780471548631535587,1780471548.631535530,1780471548,630264061,switch,False,False
1780471548641477281,1780471548.641477346,1780471548,640263935,switch,False,False
1780471548650904420,1780471548.650904417,1780471548,650252960,switch,False,False
1780471548661341694,1780471548.661341667,1780471548,660267971,switch,False,False
1780471548672065255,1780471548.672065258,1780471548,670578870,switch,False,False
1780471548681289822,1780471548.681289911,1780471548,680266919,switch,False,False
1780471548691441128,1780471548.691441059,1780471548,690317451,switch,False,False
1780471548701854497,1780471548.701854467,1780471548,700294604,switch,False,False
1780471548711248289,1780471548.711248398,1780471548,710448054,switch,False,False
1780471548720809707,1780471548.720809698,1780471548,720255309,switch,False,False
1780471548731491794,1780471548.731491804,1780471548,730338067,switch,False,False
1780471548741491988,1780471548.741492033,1780471548,740267761,switch,False,False
1780471548751331149,1780471548.751331091,1780471548,750328118,switch,False,False
1780471548761384786,1780471548.761384726,1780471548,760257172,switch,False,False
1780471548770905337,1780471548.770905256,1780471548,770228341,switch,False,False
1780471548781306609,1780471548.781306505,1780471548,780260248,switch,False,False
1780471548791265521,1780471548.791265488,1780471548,790371136,switch,False,False
1780471548800836219,1780471548.800836325,1780471548,800259580,switch,False,False
1780471548810952707,1780471548.810952663,1780471548,810406693,switch,False,False
