bag_time_ns,bag_time_sec,version_h,version_l,bms_status,soc,current,cycle,bq_ntc,mcu_ntc,cell_vol
1780471465873178225,1780471465.873178244,1,4,1,40,-9282,62,"[43,42]","[36,39]","[3488,3552,32,32,3488,3552,3520,32,32,3488]"
1780471465893413809,1780471465.893413782,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471465913784472,1780471465.913784504,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471465933973781,1780471465.933973789,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471465953245953,1780471465.953245878,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471465973382012,1780471465.973381996,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471465993406640,1780471465.993406534,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471466013420836,1780471466.013420820,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471466033324210,1780471466.033324242,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471466053448748,1780471466.053448677,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
1780471466073193009,1780471466.073193073,1,4,1,40,-8840,62,"[43,42]","[36,39]","[3488,3488,32,32,3552,3488,3584,32,32,3488]"
