bag_time_ns,bag_time_sec,data
1780471685778416559,1780471685.778416634,True
1780471685788410745,1780471685.788410664,True
1780471685798425509,1780471685.798425436,True
1780471685808329514,1780471685.808329582,True
1780471685818350742,1780471685.818350792,True
1780471685828366625,1780471685.828366518,True
1780471685838399502,1780471685.838399410,True
1780471685848798543,1780471685.848798513,True
1780471685858327711,1780471685.858327627,True
1780471685868369516,1780471685.868369579,True
1780471685879310411,1780471685.879310369,True
1780471685888533579,1780471685.888533592,True
1780471685898862120,1780471685.898862123,True
1780471685908408185,1780471685.908408165,True
1780471685918431237,1780471685.918431282,True
1780471685928210052,1780471685.928210020,True
1780471685938456380,1780471685.938456297,True
1780471685948285053,1780471685.948285103,True
1780471685958270311,1780471685.958270311,True
1780471685968250609,1780471685.968250513,True
1780471685978404292,1780471685.978404284,True
1780471685988525526,1780471685.988525629,True
1780471685998597924,1780471685.998597860,True
1780471686008276413,1780471686.008276463,True
1780471686018294761,1780471686.018294811,True
1780471686028289172,1780471686.028289080,True
1780471686038283614,1780471686.038283587,True
1780471686048608987,1780471686.048609018,True
1780471686058408090,1780471686.058408022,True
1780471686068404677,1780471686.068404675,True
1780471686078506901,1780471686.078506947,True
1780471686088250866,1780471686.088250875,True
1780471686098464009,1780471686.098464012,True
1780471686108409872,1780471686.108409882,True
1780471686118391418,1780471686.118391514,True
1780471686128432167,1780471686.128432274,True
1780471686138455571,1780471686.138455629,True
1780471686148371289,1780471686.148371220,True
1780471686158321473,1780471686.158321381,True
1780471686168294795,1780471686.168294907,True
1780471686178332023,1780471686.178332090,True
1780471686188307521,1780471686.188307524,True
1780471686198450547,1780471686.198450565,True
1780471686208322551,1780471686.208322525,True
1780471686218331490,1780471686.218331575,True
1780471686228358671,1780471686.228358746,True
1780471686238423037,1780471686.238423109,True
1780471686248273055,1780471686.248273134,True
1780471686258526168,1780471686.258526087,True
1780471686268239251,1780471686.268239260,True
1780471686278410983,1780471686.278410912,True
1780471686288415602,1780471686.288415670,True
1780471686298421245,1780471686.298421144,True
1780471686308255039,1780471686.308254957,True
1780471686318386481,1780471686.318386555,True
1780471686328307287,1780471686.328307390,True
1780471686338569489,1780471686.338569403,True
1780471686348348559,1780471686.348348618,True
1780471686358384028,1780471686.358384132,True
1780471686368279105,1780471686.368279219,True
1780471686378468854,1780471686.378468752,True
1780471686388246677,1780471686.388246775,True
1780471686398457931,1780471686.398458004,True
1780471686408390514,1780471686.408390522,True
1780471686418556646,1780471686.418556690,True
1780471686428269121,1780471686.428269148,True
1780471686438418612,1780471686.438418627,True
1780471686448586888,1780471686.448586941,True
1780471686458561073,1780471686.458561182,True
1780471686468412916,1780471686.468412876,True
1780471686478338683,1780471686.478338718,True
1780471686488355782,1780471686.488355875,True
1780471686498422229,1780471686.498422146,True
1780471686508543494,1780471686.508543491,True
1780471686518521232,1780471686.518521309,True
1780471686528631521,1780471686.528631449,True
1780471686538422080,1780471686.538422108,True
1780471686548274786,1780471686.548274755,True
1780471686558313423,1780471686.558313370,True
1780471686568258423,1780471686.568258524,True
1780471686578316805,1780471686.578316689,True
1780471686588301615,1780471686.588301659,True
1780471686598439361,1780471686.598439455,True
1780471686608251106,1780471686.608251095,True
1780471686619053113,1780471686.619053125,True
1780471686628283545,1780471686.628283501,True
1780471686638423148,1780471686.638423204,True
1780471686648260653,1780471686.648260593,True
1780471686658500133,1780471686.658500195,True
1780471686668685946,1780471686.668685913,True
1780471686678748649,1780471686.678748608,True
1780471686688233047,1780471686.688233137,True
1780471686698594966,1780471686.698595047,True
1780471686708493595,1780471686.708493710,True
1780471686719223534,1780471686.719223499,True
1780471686728441549,1780471686.728441477,True
1780471686738301008,1780471686.738301039,True
1780471686748506311,1780471686.748506308,True
1780471686758495985,1780471686.758496046,True
1780471686768334195,1780471686.768334150,True
1780471686778505383,1780471686.778505325,True
1780471686788188608,1780471686.788188696,True
1780471686798382934,1780471686.798382998,True
1780471686808259161,1780471686.808259249,True
1780471686818326088,1780471686.818325996,True
1780471686828461626,1780471686.828461647,True
1780471686838547850,1780471686.838547945,True
1780471686848331881,1780471686.848331928,True
1780471686858526910,1780471686.858526945,True
1780471686868280827,1780471686.868280888,True
1780471686878228579,1780471686.878228664,True
1780471686888383350,1780471686.888383389,True
1780471686898287388,1780471686.898287296,True
1780471686908371243,1780471686.908371210,True
1780471686918372374,1780471686.918372393,True
1780471686928280668,1780471686.928280592,True
1780471686938454704,1780471686.938454628,True
1780471686948300498,1780471686.948300600,True
1780471686958567724,1780471686.958567619,True
1780471686968439216,1780471686.968439102,True
1780471686978541312,1780471686.978541374,True
1780471686988559180,1780471686.988559246,True
1780471686998347179,1780471686.998347282,True
1780471687008425242,1780471687.008425236,True
1780471687018360161,1780471687.018360138,True
1780471687028290504,1780471687.028290510,True
1780471687038547393,1780471687.038547277,True
1780471687048495689,1780471687.048495770,True
1780471687059126711,1780471687.059126616,True
1780471687069154115,1780471687.069154024,True
1780471687078457959,1780471687.078458071,True
1780471687088323883,1780471687.088323832,True
1780471687098480446,1780471687.098480463,True
1780471687108341665,1780471687.108341694,True
1780471687118423441,1780471687.118423462,True
1780471687128420251,1780471687.128420353,True
1780471687138446216,1780471687.138446331,True
1780471687148346317,1780471687.148346424,True
1780471687158509537,1780471687.158509493,True
1780471687168440520,1780471687.168440580,True
1780471687178449619,1780471687.178449631,True
1780471687188364537,1780471687.188364506,True
1780471687198523853,1780471687.198523760,True
1780471687208360015,1780471687.208359957,True
1780471687218446910,1780471687.218446970,True
1780471687228270687,1780471687.228270769,True
1780471687238314508,1780471687.238314390,True
1780471687248283190,1780471687.248283148,True
1780471687258321730,1780471687.258321762,True
1780471687268281387,1780471687.268281460,True
1780471687278225171,1780471687.278225183,True
1780471687288301858,1780471687.288301945,True
1780471687298309421,1780471687.298309326,True
1780471687308210482,1780471687.308210373,True
1780471687318264544,1780471687.318264484,True
1780471687328191751,1780471687.328191757,True
1780471687338415390,1780471687.338415384,True
1780471687348196893,1780471687.348196983,True
1780471687358223433,1780471687.358223438,True
1780471687368220692,1780471687.368220806,True
1780471687378237344,1780471687.378237247,True
1780471687388347920,1780471687.388347864,True
1780471687398319098,1780471687.398319006,True
1780471687408214655,1780471687.408214569,True
1780471687418284973,1780471687.418284893,True
1780471687428248726,1780471687.428248644,True
1780471687438330022,1780471687.438329935,True
1780471687448293262,1780471687.448293209,True
1780471687458331835,1780471687.458331823,True
1780471687468217824,1780471687.468217850,True
1780471687478334481,1780471687.478334427,True
1780471687488293786,1780471687.488293886,True
1780471687498435180,1780471687.498435259,True
1780471687508229964,1780471687.508229971,True
1780471687518239799,1780471687.518239737,True
1780471687528245570,1780471687.528245687,True
1780471687538320785,1780471687.538320780,True
1780471687548337277,1780471687.548337221,True
1780471687558359689,1780471687.558359623,True
1780471687568320562,1780471687.568320513,True
1780471687578307580,1780471687.578307629,True
1780471687588480560,1780471687.588480473,True
1780471687598298769,1780471687.598298788,True
1780471687608317949,1780471687.608317852,True
1780471687618393932,1780471687.618393898,True
1780471687628295121,1780471687.628295183,True
1780471687638291484,1780471687.638291597,True
1780471687648302375,1780471687.648302317,True
1780471687658334740,1780471687.658334732,True
1780471687668178486,1780471687.668178558,True
1780471687678298503,1780471687.678298473,True
1780471687688287121,1780471687.688287020,True
1780471687698367553,1780471687.698367596,True
1780471687708186402,1780471687.708186388,True
1780471687718361078,1780471687.718361139,True
1780471687728299485,1780471687.728299379,True
1780471687738293512,1780471687.738293409,True
1780471687748600388,1780471687.748600483,True
1780471687758388195,1780471687.758388281,True
1780471687768299945,1780471687.768300056,True
1780471687778475645,1780471687.778475761,True
1780471687788315263,1780471687.788315296,True
1780471687798351564,1780471687.798351526,True
1780471687808330678,1780471687.808330774,True
1780471687818332385,1780471687.818332434,True
1780471687828366381,1780471687.828366280,True
1780471687838372760,1780471687.838372707,True
1780471687848344962,1780471687.848345041,True
1780471687858315243,1780471687.858315229,True
1780471687868310389,1780471687.868310452,True
1780471687878513803,1780471687.878513813,True
1780471687888282153,1780471687.888282061,True
1780471687898389722,1780471687.898389816,True
1780471687908442408,1780471687.908442497,True
1780471687918532024,1780471687.918532133,True
1780471687928305910,1780471687.928305864,True
1780471687938331522,1780471687.938331604,True
1780471687948212038,1780471687.948212147,True
1780471687958350905,1780471687.958350897,True
1780471687968284032,1780471687.968284130,True
1780471687978334734,1780471687.978334665,True
1780471687988376379,1780471687.988376379,True
1780471687998416648,1780471687.998416662,True
1780471688008344335,1780471688.008344412,True
1780471688018369051,1780471688.018368959,True
1780471688028278017,1780471688.028278112,True
1780471688038493592,1780471688.038493633,True
1780471688048197298,1780471688.048197269,True
1780471688058471596,1780471688.058471680,True
1780471688068289933,1780471688.068289995,True
1780471688078314073,1780471688.078314066,True
1780471688088304227,1780471688.088304281,True
1780471688098307790,1780471688.098307848,True
1780471688108347579,1780471688.108347654,True
1780471688118315077,1780471688.118314981,True
1780471688128400276,1780471688.128400326,True
1780471688138485892,1780471688.138485909,True
1780471688148441548,1780471688.148441553,True
1780471688158604672,1780471688.158604622,True
1780471688168256344,1780471688.168256283,True
1780471688178393194,1780471688.178393126,True
1780471688188452664,1780471688.188452721,True
1780471688198311515,1780471688.198311567,True
1780471688208364009,1780471688.208364010,True
1780471688218302608,1780471688.218302727,True
1780471688228466564,1780471688.228466511,True
1780471688238317895,1780471688.238317966,True
1780471688248388694,1780471688.248388767,True
1780471688258327005,1780471688.258327007,True
1780471688268233571,1780471688.268233538,True
1780471688278492028,1780471688.278491974,True
1780471688288232665,1780471688.288232565,True
1780471688298403853,1780471688.298403740,True
1780471688308427097,1780471688.308427095,True
1780471688318313438,1780471688.318313360,True
1780471688328199010,1780471688.328198910,True
1780471688338319476,1780471688.338319540,True
